search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
6241	HUPO28_b3-CIT	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6242	HUPO28_b3-SERUM	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6243	HUPO28_Ref-CIT	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6244	HUPO28_Ref-SERUM	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6245	b1-CIT_glyco_lcq	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6249	b1-SE_nonglyco_qstar	Blood Plasma			
6246	NIBSC_glyco_qstar	Blood Plasma			
6247	NIBSC_glyco_lcq	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6248	b1-CIT_glyco_qstar	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6250	OPDHumanSqCC	Other Anatomical Entities	Prince, J, Carlson, M, Wang, R, Lu, P, and Marcotte E, 2004 Nature Biotechnology, 22(4):471	15085804	
6251	OPDHumanSiHa	Other Anatomical Entities	Prince, J, Carlson, M, Wang, R, Lu, P, and Marcotte E, 2004 Nature Biotechnology, 22(4):471	15085804	
6252	Cytoskeleton	Other Anatomical Entities			
6253	LATIPdata2	Other Anatomical Entities			
6254	Prost_CALLA_IP_1	Other Male Reproductive Organ			
6255	lgmem2	Cancer Cell Lines, Other Male Reproductive Organ	Wright et al. (2003)	14709176	
6256	nuclear3	Other Anatomical Entities			
6257	LATIPdata	Other Anatomical Entities			
6258	Mono_v_Neutrophil	Other Anatomical Entities			
6222	HuTCellRafts_050303	Blood Cells			
6259	040804_HumanBrain	Brain			
6260	052104_HumanBrain	Brain			
6261	Colo-205	Cancer Cell Lines, Digestive System			
6262	R2hrs	Other Anatomical Entities			
6263	HuBCellRafts_N_ft	Blood Cells			
6264	CAPS	Other Anatomical Entities			
6265	PID_serum	Blood Plasma			
6266	CAO_tissue	Other Anatomical Entities			
6267	Adducin	Other Anatomical Entities			
6268	AdducinII	Other Anatomical Entities			
6269	HUPO34	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6270	HUPO29_b1-CIT_1	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6271	HUPO29_b1-CIT_win1	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6272	HUPO29_b1-CIT_win2	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6273	HUPO29_b1-EDTA_1	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6274	HUPO29_b1-EDTA_win1	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6275	HUPO29_b1-EDTA_win2	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6276	HUPO29_b1-HEP	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6277	HUPO29_b1-SERUM	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6278	HUPO37_b1-HEP_2LCQ	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6279	HUPO40	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6280	HUPO22_M_CA_S	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6281	A8_IP	Other Anatomical Entities	Resing et al. 2004, Anal Chem. 2004 Jul 1;76(13):3556-68.	15228325	
6282	PLC	Other Anatomical Entities	Resing et al. 2004, Anal Chem. 2004 Jul 1;76(13):3556-68.	15228325	
6283	Q	Other Anatomical Entities	Resing et al. 2004, Anal Chem. 2004 Jul 1;76(13):3556-68.	15228325	
6284	R	Other Anatomical Entities	Resing et al. 2004, Anal Chem. 2004 Jul 1;76(13):3556-68.	15228325	
6285	HUPO12_run31	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6286	HUPO12_run32	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6287	HUPO12_run33	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6288	HUPO12_run34	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6289	HUPO34_b1-SERUM	Blood Plasma	Omenn 2004, Proteomics, V4, I5, 1235-1240	15188391	
6290	CPE_SCX_fractionated	Other Anatomical Entities			
6291	global_SCX_fractionated	Other Anatomical Entities			
6642	MicroProt	Blood Plasma			
6292	NCIHumanSerum	Blood Plasma			
6293	HsPlasma_tryp_nonalkylated	Blood Plasma			
6294	HsPlasma_tryp_alkylated	Blood Plasma			
6295	BOBFreezeThaw	Blood Plasma			
6296	BOB2L	Blood Plasma			
6297	BOB2L_ISB	Blood Plasma			
6298	BOB2H_ISB	Blood Plasma			
6299	BOB_Sensitivity	Blood Plasma			
6300	LS_SpikedSerum	Blood Plasma			
6301	MicroProt2	Blood Plasma			
6302	Wilmarth_human_serum1	Blood Plasma			
6303	serum_FFE_2006_LTQ	Blood Plasma			
6304	serum_FFE_2006_LTQ-FT	Blood Plasma			
6305	serum_OGE_2006_LTQ-FT	Blood Plasma			
6306	serum_OGE_2006_LTQ	Blood Plasma			
6308	hair-ucd_hr_cam	Other Anatomical Entities			
6309	hair-ucd_jy_cam	Other Anatomical Entities			
6310	hair-ucd_sm_cam	Other Anatomical Entities			
6311	Wilmarth_human_lens	Eye			
6312	Wilmarth_human_saliva	Digestive System			
6313	Wilmarth_human_saliva2	Digestive System			
6314	COPD1_0405_BCell_0416	Blood Cells			
6315	COPD1_0405_CD4_0405	Blood Cells			
6316	COPD1_0405_CD8_0405	Blood Cells			
6317	COPD1_0405_Monocyte_0416	Blood Cells			
6318	COPD1_0405_Neutrophil_0416	Blood Cells			
6319	COPD2_0505_BCell	Blood Cells			
6320	COPD2_0505_CD4	Blood Cells			
6321	COPD2_0505_CD8	Blood Cells			
6322	COPD2_0505_Monocyte	Blood Cells			
6323	COPD2_0505_Neutrophil	Blood Cells			
6324	COPD3_0705_BCell	Blood Cells			
6325	COPD3_0705_CD4	Blood Cells			
6326	COPD3_0705_CD8	Blood Cells			
6327	COPD3_0705_Monocyte	Blood Cells			
6328	COPD3_0705_Neutrophil	Blood Cells			
6329	COPD5_1105_BCell	Blood Cells			
6330	COPD5_1105_CD4	Blood Cells			
6331	COPD5_1105_CD8	Blood Cells			
6332	COPD5_1105_CD8b	Blood Cells			
6333	COPD5_1105_Monocyte	Blood Cells			
6334	COPD5_1105_Neutrophil	Blood Cells			
6335	COPD7_1105_BCell	Blood Cells			
6336	COPD7_1105_CD4	Blood Cells			
6337	COPD7_1105_CD8	Blood Cells			
6338	COPD7_1105_Monocyte	Blood Cells			
6339	COPD7_1105_Neutrophil	Blood Cells			
6340	HS1_0505_BCell	Blood Cells			
6341	HS1_0505_CD4	Blood Cells			
6342	HS1_0505_CD8	Blood Cells			
6343	HS1_0505_Monocyte	Blood Cells			
6344	HS1_0505_Neutrophil	Blood Cells			
6345	HS3_0805_BCell	Blood Cells			
6346	HS3_0805_CD4	Blood Cells			
6347	HS3_0805_CD8	Blood Cells			
6348	HS3_0805_Monocyte	Blood Cells			
6349	HS3_0805_Neutrophil	Blood Cells			
6350	HS4_0805_BCell	Blood Cells			
6351	HS4_0805_CD4	Blood Cells			
6352	HS4_0805_CD8	Blood Cells			
6353	HS4_0805_Monocyte	Blood Cells			
6354	HS4_0805_Neutrophil	Blood Cells			
6355	HS5_0905_BCell	Blood Cells			
6356	HS5_0905_CD4	Blood Cells			
6357	HS5_0905_CD8	Blood Cells			
6358	HS5_0905_Monocyte	Blood Cells			
6359	HS5_0905_Neutrophil	Blood Cells			
6360	HS6_1105_BCell	Blood Cells			
6361	HS6_1105_CD4	Blood Cells			
6362	HS6_1105_CD8	Blood Cells			
6363	HS6_1105_Monocyte	Blood Cells			
6364	HS6_1105_Neutrophil	Blood Cells			
6365	01_glyco	Other Anatomical Entities	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6366	15_clinprot_c3	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6367	16_clinprot_c8	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6368	17_wcx	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6369	18_size	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6370	19_proteinag	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6371	20_cys	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6372	21_unfract	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6373	22_mars	Blood Plasma	Paulavich et al. (2007) J Proteome Res. 2007 Feb;6(2):828-36	17269739	
6374	hupo1_b1-cit_cam	Blood Plasma			
6375	hupo1_b1-edta_cam	Blood Plasma			
6376	hupo1_b1-hep_cam	Blood Plasma			
6377	hupo1_b1-serum_cam	Blood Plasma			
6378	hupo1_b2-cit_cam	Blood Plasma			
6379	hupo1_b2-edta_cam	Blood Plasma			
6380	hupo1_b2-hep_cam	Blood Plasma			
6381	hupo1_b2-serum_cam	Blood Plasma			
6382	hupo1_b3-serum_cam	Blood Plasma			
6383	hupo17_b1-serum_cam	Blood Plasma			
6384	HUPOPPP33_Deca	Blood Plasma			
6385	hupo46_c1-serum_cam	Blood Plasma			
6386	hupo46_reference_cam	Blood Plasma			
6387	hupo53_reference_cam	Blood Plasma			
6388	hupo55_b1-cit_cam	Blood Plasma			
6389	HEK293-1st-c-200ug	Non Cancer Cell Lines			
6390	03-H293CoCl2-40uL	Non Cancer Cell Lines			
6391	04-H293CoCl2-8uL	Non Cancer Cell Lines			
6392	05-H293CoCl2-4uL	Non Cancer Cell Lines			
6393	06-H293CoCl2-2uL	Non Cancer Cell Lines			
6394	07-H293CoCl2-400nL	Non Cancer Cell Lines			
6395	H293-a-200ug	Non Cancer Cell Lines			
6396	H293-b-200ug	Non Cancer Cell Lines			
6397	H293b-2nd-a-400ug	Non Cancer Cell Lines			
6398	H293b-2nd-b-400ug	Non Cancer Cell Lines			
6399	H293b-2nd-c-500ug	Non Cancer Cell Lines			
6400	H293b-2nd-d-500ug	Non Cancer Cell Lines			
6401	H293b-2nd-e-200ug	Non Cancer Cell Lines			
6402	H293b-2nd-f-200ug	Non Cancer Cell Lines			
6403	H293b-2nd-g-200ug	Non Cancer Cell Lines			
6404	H293b-a-200ug	Non Cancer Cell Lines			
6405	H293b-b-200ug	Non Cancer Cell Lines			
6406	H293CoCl2-a-200ug	Non Cancer Cell Lines			
6407	H293CoCl2-b1-200ug	Non Cancer Cell Lines			
6408	H293CoCl2-b1-500ug	Non Cancer Cell Lines			
6409	H293CoCl2-b-200ug	Non Cancer Cell Lines			
6410	H293CoCl2-b2-200ug	Non Cancer Cell Lines			
6411	H293CoCl2-b3-200ug	Non Cancer Cell Lines			
6625	2007-08-24_SEC_OGE_2-LTQ	Blood Plasma			
6626	2007-08-24_SEC_OGE_2-LTQFT	Blood Plasma			
6624	2007-08-24_SEC_OGE_2-Agilent	Blood Plasma			
6496	2007-08-24_IEF_GeH_LTQ	Blood Plasma			
6649	urine_glycocapture	Urine			
6650	urine_glycocapture	Urine			
6234	HsUrine	Urine			
6307	HsGlycoPlasma35indiv	Blood Plasma			
6412	HsNormFemUrine_163A	Urine			
6413	HsNormFemUrine_1912A	Urine			
6414	HsNormMaleUrine_P07-050C	Urine			
6415	HsNormMaleUrine_P07-053C	Urine			
6716	HLPP_E032	Liver			
6717	HLPP_E033	Liver			
6719	HLPP_E035	Liver			
6720	HLPP_E041	Liver			
6722	HLPP_E043	Liver			
6721	HLPP_E042	Liver			
6709	HLPP_E011	Liver			
6711	HLPP_E021	Liver			
6712	HLPP_E022	Liver			
6713	HLPP_E023	Liver			
6714	HLPP_E024	Liver			
6715	HLPP_E025	Liver			
6710	HLPP_E012	Liver			
6416	Normal_LCQ_Cys_May04	Blood Plasma			
6417	Normal_LCQ_NoCys_May04	Blood Plasma			
6418	Normal_LCQ_NoCys_Oct04	Blood Plasma			
6419	Normal_LTQ_Cys_Dec04	Blood Plasma			
6420	Trauma_LTQ_Cys_Apr05	Blood Plasma	Liu et al. (2006)	16684767	
6421	Trauma_LTQ_Cys_Mar05	Blood Plasma	Liu et al. (2006)	16684767	
6422	Trauma_LTQ_NoCys_Mar05	Blood Plasma	Liu et al. (2006)	16684767	
6423	Trauma_LTQ_NonGlyco_Apr05	Blood Plasma	Liu et al. (2006)	16684767	
6424	PPP-2	Blood Plasma			
6425	PostmortemHuman_FronCortex	Brain			
6718	HLPP_E034	Liver			
6651	PSE115_PSM1064_human	Placenta	Cox et al. (2009)	19536202	
6468	HsPlasma_IP0023	Blood Plasma			
6469	HsPlasma_IP0028	Blood Plasma			
6470	HsPlasma_IP0029	Blood Plasma			
6471	HsPlasma_IP0055	Blood Plasma			
6472	HsPlasma_IP0056	Blood Plasma			
6462	HsFlatCell	Cancer Cell Lines, Other Anatomical Entities			
6755	1D-Miyamoto_Glomerulus	Kidney			
6756	2D-Miyamoto_Glomerulus	Kidney			
6757	HsaGlomerulus_ABI	Kidney			
6758	HsaGlomerulus_Agilent	Kidney			
6759	HsaGlomerulus_GE	Kidney			
6760	HsaGlomerulus_Hitachi	Kidney			
6746	1D-HumanUrine_Shymaa	Urine			
6747	1D-HumanUrine_Zhang	Urine			
6473	HsPlasma_IP0018	Blood Plasma			
6474	HsPlasma_IP0021	Blood Plasma			
6475	HsPlasma_IP0027	Blood Plasma			
6476	HsPlasma_IP0049	Blood Plasma			
6477	HsPlasma_IP0050	Blood Plasma			
6478	HsPlasma_IP0083	Blood Plasma			
6479	HsPlasma_IP0089	Blood Plasma			
6480	HsPlasma_IP0111	Blood Plasma			
6481	HsPlasma_IP0112	Blood Plasma			
6482	HsPlasma_IP0113	Blood Plasma			
6748	HumanUrine_IngelS1b	Urine			
6749	HumanUrine_IngelS2b	Urine			
6750	HumanUrine_IngelS3b	Urine			
6751	HumanUrine_IngelZ1b	Urine			
6752	HumanUrine_IngelZ2a	Urine			
6753	HumanUrine_IngelZ3b	Urine			
8500	ABRF_iPRG2010	Other Anatomical Entities			
6426	HsBrain1_PE	Brain			
6427	HsBrain1_PS	Brain			
6428	HsBrain1_S12	Brain			
6429	HsBrain2_PE	Brain			
6430	HsBrain2_S12	Brain			
6431	HsBrain2_PS	Brain			
6659	cyto_Hs_Tcell_Cyto1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6497	depletion_Hs_Tcell_depletion10	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6498	depletion_Hs_Tcell_depletion11	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6499	depletion_Hs_Tcell_depletion12	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6500	depletion_Hs_Tcell_depletion13	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6501	depletion_Hs_Tcell_depletion14	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6502	depletion_Hs_Tcell_depletion15	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6503	depletion_Hs_Tcell_depletion16	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6504	depletion_Hs_Tcell_depletion17	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6505	depletion_Hs_Tcell_depletion18	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6506	depletion_Hs_Tcell_depletion19	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6507	depletion_Hs_Tcell_depletion1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6508	depletion_Hs_Tcell_depletion2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6509	depletion_Hs_Tcell_depletion3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6510	depletion_Hs_Tcell_depletion4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6511	depletion_Hs_Tcell_depletion7	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6512	depletion_Hs_Tcell_depletion8	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6513	depletion_Hs_Tcell_depletion9	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6514	Glyco_Hs_Tcell_Glycoproteins1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6515	Glyco_Hs_Tcell_Glycoproteins2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6516	LM_Hs_Tcell_LightMembrane1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6517	PM_Hs_Tcell_PlasmaMembrane1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6518	PM_Hs_Tcell_PlasmaMembrane2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6519	PM_Hs_Tcell_PlasmaMembrane3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6520	PM_Hs_Tcell_PlasmaMembrane4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6521	PM_Hs_Tcell_PlasmaMembrane5	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6522	PM_Hs_Tcell_PlasmaMembrane6	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6523	Raft_Hs_Tcell_Raft1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6524	Raft_Hs_Tcell_Raft2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6525	Raft_Hs_Tcell_Raft3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6526	Raft_Hs_Tcell_Raft4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6527	WCL_Hs_Tcell_WholeCellLysate10	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6528	WCL_Hs_Tcell_WholeCellLysate11	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6529	WCL_Hs_Tcell_WholeCellLysate12	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6530	WCL_Hs_Tcell_WholeCellLysate13	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6531	WCL_Hs_Tcell_WholeCellLysate14	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6532	WCL_Hs_Tcell_WholeCellLysate1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6533	WCL_Hs_Tcell_WholeCellLysate2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6534	WCL_Hs_Tcell_WholeCellLysate3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6535	WCL_Hs_Tcell_WholeCellLysate4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6536	WCL_Hs_Tcell_WholeCellLysate5	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6537	WCL_Hs_Tcell_WholeCellLysate6	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6538	WCL_Hs_Tcell_WholeCellLysate7	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6539	WCL_Hs_Tcell_WholeCellLysate8	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6540	WCL_Hs_Tcell_WholeCellLysate9	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6541	cyto_Hs_Tcell_Cyto2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6542	cyto_Hs_Tcell_Cyto3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6543	cyto_Hs_Tcell_Cyto4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6544	cyto_Hs_Tcell_Cyto5	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6545	cyto_Hs_Tcell_Cyto6	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6546	cyto_Hs_Tcell_Cyto7	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6547	HM_Hs_Tcell_HeavyMembrane1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6569	HM_Hs_Tcell_HeavyMembrane2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6570	HM_Hs_Tcell_HeavyMembrane3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6548	LM_Hs_Tcell_LightMembrane2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6549	LM_Hs_Tcell_LightMembrane3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6550	LM_Hs_Tcell_LightMembrane4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6551	LM_Hs_Tcell_LightMembrane5	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6552	Mito_Hs_Tcell_Mito1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6553	Mito_Hs_Tcell_Mito2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6554	Mito_Hs_Tcell_Mito3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6555	Nuc_Hs_Tcell_Nuc1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6556	Nuc_Hs_Tcell_Nuc2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6557	Nuc_Hs_Tcell_Nuc3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6558	Nuc_Hs_Tcell_Nuc4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6559	Nuc_Hs_Tcell_Nuc5	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6560	Nuc_Hs_Tcell_Nuc6	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6561	Nuc_Hs_Tcell_Nuc7	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6562	Nuc_Hs_Tcell_Nuc8	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6563	phospho_Hs_Tcell_Phospho1	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6564	phospho_Hs_Tcell_Phospho2	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6565	phospho_Hs_Tcell_Phospho3	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6566	phospho_Hs_Tcell_Phospho4	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6571	phospho_Hs_Tcell_Phospho5	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6567	phospho_Hs_Tcell_Phospho6	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6568	phospho_Hs_Tcell_Phospho7	Cancer Cell Lines, Blood	Wu et al. (2007)	17519225	
6432	human_adipocyte	Other Anatomical Entities			
6433	human_bone	Other Anatomical Entities			
6434	human_breast	Breast			
6435	human_CSF	Cerebrospinal Fluid			
6436	human_heart	Heart			
6437	human_lung	Lung			
6438	human_ovary	Ovary			
6439	human_pancreas	Pancreas			
6658	human_platelets_lysate	Blood Cells			
6440	human_platelets_secreted_trypic_digest	Blood Cells			
6441	human_platelets_secreted_undigested	Blood Cells			
6723	ChineseAdultLiver_C012	Liver			
6724	ChineseAdultLiver_C013_SCX1	Liver			
6725	ChineseAdultLiver_C013_SCX2	Liver			
6726	ChineseAdultLiver_C013_SCX3	Liver			
6727	ChineseAdultLiver_C013_SCX4	Liver			
6728	ChineseAdultLiver_C013_SCX5	Liver			
6729	ChineseAdultLiver_C013_SCX6	Liver			
6730	ChineseAdultLiver_C032	Liver			
